Band Value,Blue,Green,Red,NIR
0.3447,,,,
0.3457,,,,0.345
0.3467,,,,
0.3477,,,,
0.3486,,,,
0.3496,,,,
0.3506,,,,
0.3516,,,,
0.3525,,,,
0.3535,,,,
0.3545,,,,
0.3555,,,,
0.3564,,,,
0.3574,,,,
0.3584,,,,
0.3594,,,,
0.3604,,,,
0.3613,,,,
0.3623,,,,
0.3633,,,,
0.3643,,,,
0.3652,,,,0.365
0.3662,,,,
0.3672,,,,
0.3682,,,,
0.3691,,,,0.369
0.3701,,,,
0.3711,,,,
0.3721,,,,
0.3730,,,,0.373
0.3740,,,,
0.3750,,,,
0.3760,,,,
0.3770,,,,
0.3779,,0.376,,
0.3789,,,,
0.3809,,,,
0.3828,,,,
0.3848,,,,
0.3867,,,,
0.3887,,,,
0.3906,,,,
0.3926,,,,
0.3945,,,,
0.3965,,,,
0.3984,,,,
0.4004,,,,
0.4023,,,,
0.4043,,,,
0.4063,,,,
0.4082,,,,
0.4102,,,,
0.4121,,,,
0.4141,,,,
0.4160,,,,
0.4180,,,0.42,
0.4199,,,,
0.4219,,,,
0.4238,,,,
0.4258,,,,
0.4277,,,,
0.4297,,,,
0.4316,,,,
0.4336,,,,
0.4355,,,,
0.4375,,,,
0.4395,,,,
0.4414,,,,
0.4434,,,,
0.4453,,,,
0.4473,,,,
0.4492,,,,
0.4512,,,,
0.4531,,,,
0.4551,,,,
0.4570,,,,
0.4590,,,,
0.4609,,,,
0.4629,,,,
0.4648,,,,
0.4668,,,,
0.4688,,,,
0.4707,,,,0.471
