Band Value,Blue,Green,Red,NIR
0.21191,8,6,,
0.21289,10,8,,
0.21387,6,11,,
0.21484,8,7,,
0.21582,5,4,,
0.21680,12,5,,
0.21777,8,4,,
0.21875,6,4,,
0.21973,9,11,,
0.22070,4,6,,
0.22168,2,3,,
0.22266,4,10,,
0.22363,11,6,,
0.22461,11,6,,
0.22559,5,4,,
0.22656,6,6,,
0.22754,4,2,,
0.22852,10,6,,
0.22949,9,2,,
0.23047,2,5,,
0.23145,6,4,,
0.23242,2,6,,
0.23340,5,5,,
0.23438,1,2,,
0.23535,6,3,,
0.23633,3,5,,
0.23730,6,3,,
0.23828,4,2,,
0.23926,3,5,,
0.24023,3,4,,
0.24121,2,5,,
0.24219,3,3,,
0.24316,2,1,,
0.24414,1,2,,
0.24512,,2,,
0.24609,5,2,,
0.24707,2,2,,
0.24805,3,1,,
0.24902,1,2,,
0.25000,1,,,
0.25098,4,3,,
0.25195,1,2,,
0.25293,1,2,,
0.25391,1,,,
0.25488,1,1,,
0.25586,,2,,
0.25684,2,1,,
0.25781,1,1,,
0.25879,,,,
0.25977,3,,,
0.26074,,1,,
0.26172,,2,,
0.26270,,1,,
0.26367,3,1,,
0.26465,2,,,
0.26563,2,,,
0.26660,2,,,
0.26758,2,2,,
0.26855,1,,,
0.26953,,,,
0.27051,1,,,
0.27148,1,1,,
0.27246,,,,
0.27344,,,,
0.27441,,,,
0.27539,,,,
0.27637,,,,
0.27734,,,,
0.27832,,,,
0.27930,,,,
0.28027,,,,
0.28125,1,,,
