Band Value,Blue,Green,Red,NIR
0.22168,,,,22
0.22266,,,,18
0.22363,,,,9
0.22461,,,,11.973
0.22559,,,,15
0.22656,,,,15
0.22754,,,,16
0.22852,,,,15
0.22949,,,,12
0.23047,,,,25.078
0.23145,,,,16
0.23242,,,,18
0.23340,,,,21
0.23438,,,,13
0.23535,,,,21
0.23633,,,,14
0.23730,,,,19
0.23828,,,,16
0.23926,,,,20
0.24023,,,,11
0.24121,,,,19
0.24219,,,,21
0.24316,,,,21
0.24414,,,,21
0.24512,,,,16
0.24609,,,,26
0.24707,,,,25
0.24805,,,,17
0.24902,,,,14
0.25000,,,,21
0.25098,,,,20
0.25195,,,,24
0.25293,,,,15
0.25391,,,,18
0.25488,,,,17
0.25586,,,,20
0.25684,,,,19
0.25781,,,,9
0.25879,,,,17
0.25977,,,,16
0.26074,,,,10
0.26172,,,,13
0.26270,,,,19
0.26367,,,,14
0.26465,,,,10
0.26563,,,,10
0.26660,,,,10
0.26758,,,,10
0.26855,,,,12
0.26953,,,,10
0.27051,,,,11
0.27148,,,,7
0.27246,,,,8
0.27344,,,,2
0.27441,,,,8
0.27539,,,,4
0.27637,,,,6
0.27734,,,,3
0.27832,,,,4
0.27930,,,,6
0.28027,,,,2
0.28125,,,,6
0.28223,,,,2
0.28320,,,,5
0.28418,,,,1
0.28516,,,,7
0.28613,,,,4
0.28711,,,,1
0.28809,,,,4
0.28906,,,,2
0.29004,,,,2
0.29102,,,,3
0.29199,,,,6
0.29297,,,,1
0.29395,,,,2
0.29492,,,,1
0.29590,,,,2
0.29688,,,,3
0.29785,,,,2
0.29883,,,,3
0.29980,,,,1
0.30078,,,,3
0.30176,,,,2
0.30273,,,,
0.30371,,,,
0.30469,,,,2
0.30566,,,,2
0.30664,,,,
0.30762,,,,
0.30859,,,,1
0.30957,,,,1
0.31055,,,,
0.31152,,,,
0.31250,,,,
0.31348,,,,1
0.31445,,,,1
0.31543,,,,2
0.31641,,,,
0.31738,,,,
0.31836,,,,
0.31934,,,,2
0.32031,,,,
0.32129,,,,
0.32227,,,,1
0.32324,,,,
0.32422,,,,2
0.32520,,,,2
0.32617,,,,
0.32715,,,,
0.32813,,,,
0.32910,,,,
0.33008,,,,
0.33105,,,,1
0.33203,,,,
0.33301,,,,
0.33398,,,,
0.33496,,,,
0.33594,,,,
0.33691,,,,
0.33789,,,,
0.33887,,,,1
0.33984,,,,
0.34082,,,,
0.34180,,,,1
0.34277,,,,
0.34375,,,,
0.34473,,,,
0.34570,,,,
0.34668,,,,
0.34766,,,,
0.34863,,,,3
0.34961,,,,
0.35059,,,,
0.35156,,,,1
0.35254,,,,1
0.35352,,,,
0.35449,,,,1
0.35547,,,,
0.35645,,,,
0.35742,,,,1
0.35840,,,,1
0.35938,,,,
0.36035,,,,
0.36133,,,,
0.36230,,,,
0.36328,,,,
0.36426,,,,
0.36523,,,,2
0.36621,,,,
0.36719,,,,
0.36816,,,,
0.36914,,,,
0.37012,,,,
0.37109,,,,
0.37207,,,,2
0.37305,,,,
0.37402,,,,1
0.37500,,,,
0.37598,,,,
0.37695,,,,
0.37793,,,,
0.37891,,,,
0.37988,,,,
0.38086,,,,
0.38184,,,,
0.38281,,,,
0.38379,,,,
0.38477,,,,
0.38574,,,,
0.38672,,,,1
